53.8,47.7,3.4,13.3,26.2,116.6
53.0,46.6,3.9,12.8,28.1,109.8
52.9,50.1,10.1,16.0,29.2,108.9
50.7,48.6,10.3,16.6,30.3,107.8
46.7,52.2,16.7,16.2,27.3,103.0
46.8,52.1,16.5,16.3,25.5,102.6
43.0,58.1,17.4,14.8,23.8,96.6
43.3,56.5,17.7,14.8,23.2,93.7
44.3,58.9,18.1,14.9,22.5,89.9
42.9,57.0,18.6,14.1,20.3,87.8
39.5,64.0,25.5,18.0,19.2,89.7
39.5,60.8,24.9,18.7,18.8,77.1
37.1,65.5,22.5,18.4,16.1,78.8
34.3,67.3,20.4,18.1,15.9,76.2
35.9,63.9,20.6,16.3,16.9,68.7
32.1,66.0,21.4,20.4,18.1,67.1
32.1,72.0,21.7,25.0,19.4,66.0
29.6,72.3,18.6,28.2,20.4,60.1
29.2,71.1,17.9,31.3,19.5,61.7
27.6,74.0,18.0,35.0,18.7,56.5
25.6,75.9,19.0,38.4,16.4,56.6
26.3,72.4,19.2,44.2,15.2,51.6
24.7,75.4,15.8,46.2,14.2,49.5
23.0,79.9,13.4,50.1,12.2,47.1
21.5,80.6,10.1,50.7,11.2,42.6
20.2,72.3,10.9,47.4,10.0,44.1
20.7,35.6,11.4,42.7,11.2,53.9
20.4,31.9,12.6,35.6,12.3,79.1
18.5,31.5,14.4,37.5,11.0,91.3
17.0,33.9,11.4,32.4,10.5,101.8
14.2,35.1,9.3,38.5,14.5,137.0
13.3,36.9,7.7,39.3,14.0,137.8
12.8,36.7,6.3,39.4,12.5,140.1
13.2,33.8,7.6,33.9,12.2,142.3
14.7,37.7,9.7,30.6,12.3,130.7
16.5,34.6,8.4,29.6,12.3,139.0
22.6,38.2,7.3,27.5,11.8,74.1
30.6,32.3,11.5,27.8,13.4,44.5
45.9,25.7,10.8,31.5,12.6,48.1
54.2,16.0,10.4,31.1,10.1,44.2
69.5,17.5,10.1,31.5,8.1,45.9
67.1,18.4,9.8,29.4,7.9,44.2
72.3,20.8,10.2,30.3,7.5,42.2
74.7,21.3,9.9,25.2,7.7,43.2
73.9,22.1,9.1,25.4,6.8,41.6
68.9,23.8,9.5,26.5,7.1,42.2
68.3,25.1,9.3,25.8,6.7,40.2
68.3,27.5,4.3,27.7,6.3,38.1
68.5,28.9,4.1,26.8,6.0,38.4
63.7,28.0,3.7,26.7,6.0,39.3
64.8,30.1,3.5,27.7,5.8,37.4
59.0,30.4,3.4,25.6,5.5,40.5
61.7,32.5,3.1,26.8,5.1,40.1
58.8,34.2,3.1,27.5,5.0,37.7
54.8,34.0,2.9,28.3,4.7,39.0
58.2,36.2,2.5,31.5,4.2,47.5
56.6,37.6,2.5,34.0,3.9,50.7
55.0,38.1,2.1,32.7,4.0,47.4
52.2,41.3,2.0,29.2,9.6,49.4
52.2,40.1,1.8,28.1,8.7,51.2
49.2,43.7,1.6,27.5,6.3,50.7
48.4,43.4,1.3,27.5,3.5,49.2
43.9,48.2,1.2,30.0,3.4,52.2
43.3,48.6,6.5,27.7,3.2,49.7
41.3,46.8,6.2,29.4,3.0,50.4
44.0,48.3,5.7,29.2,2.6,51.5
40.9,53.9,1.0,29.7,2.5,53.1
41.2,52.4,0.8,28.2,2.2,47.3
42.0,54.9,0.6,30.5,1.9,46.5
45.6,55.1,0.5,28.3,2.0,45.8
49.6,57.0,0.4,29.4,2.0,44.7
46.6,55.4,0.4,26.0,2.0,46.0
44.8,57.7,0.4,26.1,1.9,42.5
45.6,62.1,0.4,25.8,1.8,40.6
44.0,60.9,0.4,24.8,1.8,39.8
44.0,62.7,0.3,24.2,1.9,40.1
41.1,64.4,0.3,25.8,1.7,42.7
38.7,65.8,0.3,24.4,1.8,43.5
40.1,64.0,0.3,23.6,1.8,42.5
37.7,67.6,0.3,31.6,1.7,40.2
36.2,71.8,0.2,30.9,1.7,42.9
35.7,68.4,0.2,31.3,1.7,50.4
34.6,73.0,0.2,31.4,1.6,50.8
33.2,76.6,0.2,30.3,1.6,47.8
30.7,76.8,0.2,29.5,1.6,59.8
30.3,74.1,0.1,29.4,1.5,57.6
28.8,77.0,0.1,31.2,8.4,55.6
27.1,75.8,0.1,29.8,7.7,66.4
26.4,76.9,0.0,28.6,8.0,66.8
24.6,88.4,0.0,31.4,7.5,74.0
22.3,96.1,5.4,29.5,7.6,74.8
22.6,96.7,5.4,29.7,5.5,79.8
19.6,91.3,5.1,30.0,3.4,77.1
16.2,106.5,4.9,32.0,2.9,77.4
9.4,104.5,5.4,26.0,3.3,74.2
5.8,120.4,6.7,29.7,5.1,64.7
5.1,59.9,7.0,28.6,5.0,65.6
5.7,64.2,7.0,29.3,5.4,65.8
6.9,63.3,7.1,29.3,5.6,67.6
8.1,67.5,6.9,27.5,6.4,69.7
8.9,63.6,5.4,27.7,6.8,70.5
10.3,61.8,2.9,25.9,7.5,68.6
11.7,107.9,3.6,25.1,8.1,66.9
12.4,102.4,4.4,26.3,8.8,68.4
15.1,99.7,4.4,27.9,9.5,76.7
21.5,94.4,4.2,29.2,9.6,84.2
24.3,103.1,3.9,26.1,10.6,81.2
24.3,104.0,3.8,27.7,10.3,78.6
23.6,104.9,6.1,26.8,9.1,77.5
23.0,101.1,8.9,28.8,7.3,81.8
21.0,100.8,7.9,26.4,4.6,78.8
19.4,106.2,8.0,29.0,4.3,76.5
19.3,104.0,7.2,27.4,3.8,78.7
18.0,105.2,7.6,25.1,3.7,71.7
15.2,107.0,6.8,24.7,3.1,78.4
15.3,106.1,6.4,24.0,2.8,72.0
13.7,107.7,1.6,23.7,2.4,76.1
12.1,112.0,1.3,25.7,2.2,76.8
11.0,110.5,1.0,25.5,2.2,71.0
10.6,97.0,0.7,24.1,2.4,68.9
58.1,83.5,0.6,30.4,3.2,56.0
53.8,30.6,0.7,28.4,4.3,41.4
52.7,30.2,1.0,28.4,5.0,41.4
51.5,26.8,1.2,28.7,5.2,42.0
52.7,28.0,1.5,29.4,5.8,42.5
51.3,28.7,1.6,29.9,6.1,41.5
49.5,28.6,1.8,25.1,6.6,47.3
49.6,30.6,2.1,23.4,4.6,48.3
46.5,31.6,2.3,24.0,3.4,47.3
44.7,41.7,2.5,22.0,2.2,45.9
51.4,99.5,2.8,22.1,2.2,57.4
52.3,115.6,3.0,26.5,2.4,58.7
11.4,122.0,3.4,28.1,2.9,58.5
6.5,121.8,4.1,32.9,4.1,48.1
5.9,116.2,4.2,33.4,4.3,46.9
7.5,120.4,4.3,32.4,4.2,49.6
9.5,126.3,4.3,25.7,4.6,57.0
11.4,120.3,4.8,26.8,5.8,56.0
13.1,116.3,4.9,25.7,5.8,59.0
15.4,121.0,5.2,25.8,6.6,60.1
21.3,123.8,5.5,26.3,7.0,62.7
55.1,123.9,5.1,25.3,6.9,66.4
51.9,130.0,5.3,25.6,6.5,62.8
53.5,126.2,4.8,24.7,5.4,60.8
49.6,124.2,5.0,25.2,3.4,62.0
50.0,123.7,4.7,25.1,2.6,60.5
11.6,118.8,5.2,25.1,3.0,56.1
6.6,71.7,6.0,34.4,4.5,44.4
5.8,64.0,5.8,33.2,4.9,43.5
7.0,62.0,5.8,32.3,4.5,45.7
9.2,73.3,6.4,32.6,3.9,46.2
11.7,112.6,6.5,31.2,4.4,47.1
15.1,111.9,6.3,25.0,5.6,59.2
17.4,124.2,6.7,23.4,6.4,58.0
16.7,118.2,7.2,24.8,6.8,55.8
14.9,114.7,7.2,26.1,7.3,58.1
13.8,78.5,6.6,23.9,6.0,50.0
16.4,116.6,6.7,25.2,3.9,57.6
49.2,128.8,5.9,23.2,2.1,60.7
50.8,124.0,5.7,25.5,2.5,62.0
49.3,120.8,5.4,25.6,2.7,60.4
47.1,124.3,5.4,25.6,2.4,55.1
44.6,125.8,5.4,25.0,2.3,52.2
42.4,120.7,0.6,23.4,2.1,54.6
44.7,121.9,0.5,24.2,2.1,54.1
42.8,128.0,0.5,23.8,2.1,55.7
41.2,124.1,0.5,31.3,2.0,53.9
39.5,125.1,0.4,30.1,1.9,52.9
39.6,134.1,0.4,30.7,1.8,53.0
37.0,135.5,0.4,31.1,1.8,50.8
36.8,133.8,0.3,29.3,1.7,49.3
35.3,130.8,0.3,28.3,1.6,46.7
31.9,141.1,0.2,34.4,1.7,44.1
32.7,143.7,0.2,36.3,1.6,41.0
30.6,139.5,0.2,35.4,1.6,33.1
28.0,139.7,0.2,35.1,1.4,32.9
26.4,150.3,0.1,34.0,46.8,31.7
26.8,148.7,0.1,35.4,48.0,29.3
26.0,157.5,0.1,35.9,44.3,27.0
24.3,156.2,5.6,40.8,43.8,24.8
23.1,155.2,5.6,41.7,46.0,22.1
21.5,146.0,4.8,42.0,44.0,22.0
19.5,148.4,4.6,42.4,44.9,20.7
17.8,157.4,8.9,40.2,42.4,18.0
17.9,161.3,15.4,39.5,40.3,16.4
15.1,159.1,14.5,39.7,37.5,14.8
15.1,159.1,14.1,42.0,25.6,13.6
13.2,152.0,13.5,42.8,23.4,10.9
11.6,165.2,19.5,42.5,22.7,9.4
10.4,139.8,86.7,39.3,18.5,10.1
10.0,85.5,76.3,42.2,14.4,11.6
9.7,23.1,74.7,40.3,12.8,10.5
9.0,118.1,75.2,42.7,13.5,9.0
9.5,130.5,79.6,39.8,14.5,8.6
10.1,139.3,83.5,40.0,16.1,9.6
11.2,137.6,84.3,43.1,17.0,10.2
11.0,158.8,33.0,42.4,21.6,9.9
12.3,154.3,13.4,43.3,38.2,8.2
12.4,109.2,14.8,39.2,40.4,9.1
13.2,162.5,14.1,44.0,36.7,9.3
13.3,150.2,13.3,43.2,36.7,10.1
12.7,165.6,14.0,40.0,25.8,11.0
12.7,140.1,86.5,41.1,20.9,12.7
12.8,21.3,77.0,43.8,17.2,15.9
13.4,14.2,76.5,35.3,15.9,17.0
12.9,24.1,80.9,41.9,17.3,15.6
12.4,143.3,84.0,41.8,20.2,12.3
12.6,166.1,13.3,42.5,24.5,10.5
13.0,72.4,14.6,38.6,39.4,8.5
14.2,74.7,14.8,37.8,42.6,11.4
14.5,64.8,11.1,21.7,57.3,13.5
16.8,39.5,7.9,16.8,77.2,12.3
18.0,43.2,5.8,13.5,80.3,12.2
19.6,38.0,6.9,11.2,56.5,11.9
20.6,40.4,7.1,10.1,33.5,11.2
21.0,42.6,6.1,9.2,33.8,10.9
21.2,45.4,6.9,8.0,30.3,10.7
20.1,46.2,8.1,10.9,31.2,9.8
19.4,44.5,8.8,11.9,35.7,8.8
17.2,48.7,9.3,11.5,39.8,8.5
15.9,49.9,10.9,10.7,55.2,7.5
15.3,48.1,11.2,9.8,52.2,6.6
13.8,51.4,12.6,8.4,50.6,6.0
11.7,52.0,11.1,7.3,78.9,5.2
11.7,51.9,9.9,6.6,55.9,4.4
22.5,49.8,9.7,5.7,47.7,4.1
25.9,54.7,12.9,4.4,29.3,4.2
24.8,53.8,12.9,3.8,25.2,4.4
22.0,54.2,13.2,3.4,25.7,4.2
26.7,56.7,12.4,3.0,24.4,4.0
28.7,60.2,13.0,2.5,22.8,3.8
29.8,58.8,8.5,2.2,21.7,3.3
26.8,61.8,8.2,1.9,21.5,2.9
27.1,59.8,9.3,1.5,19.3,2.7
25.3,65.2,9.6,1.2,20.6,2.3
24.8,66.2,9.8,0.9,21.1,8.2
23.1,65.1,14.7,0.7,21.7,7.4
23.2,68.1,15.6,0.4,21.4,7.7
20.9,64.8,15.9,0.2,21.8,7.1
17.4,67.1,15.3,0.5,33.3,7.2
15.9,70.1,14.9,5.5,35.3,6.8
13.5,66.8,15.4,5.3,34.9,6.6
12.1,69.7,16.5,5.0,35.3,6.4
12.6,77.3,15.3,4.7,33.2,6.4
19.9,74.3,15.2,4.8,31.9,6.6
42.1,74.2,16.3,4.3,26.5,5.5
40.8,34.8,15.2,4.0,17.7,3.6
44.3,32.9,16.1,4.3,15.2,2.4
40.3,76.8,16.1,4.2,25.1,2.4
39.3,79.3,16.2,4.6,29.1,2.4
17.2,76.3,16.6,4.6,29.4,2.5
9.5,74.2,10.7,5.3,30.8,3.1
6.1,75.6,12.1,5.8,50.3,4.1
6.1,70.3,12.1,5.7,49.4,3.7
6.6,76.8,11.5,5.7,50.8,4.5
7.7,73.3,11.1,6.2,50.5,6.1
8.4,71.5,10.8,6.7,49.7,6.1
9.0,69.8,10.1,7.7,52.4,6.8
10.1,69.7,9.9,8.3,32.9,7.1
11.6,71.4,13.7,8.4,32.5,8.1
14.3,64.0,14.5,8.3,29.6,8.4
19.9,70.4,12.6,8.2,32.4,9.8
